"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:47"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Data,ValueFleetGroup

year,fleet,group,value
2016,5,7,17.702461
2016,5,8,0
2016,5,9,0
2016,5,10,0
2016,5,11,0
2017,1,1,0
2017,1,2,0
2017,1,3,0
2017,1,4,0
2017,1,5,0
2017,1,6,0
2017,1,7,0
2017,1,8,0
2017,1,9,0
2017,1,10,0
2017,1,11,0
2017,2,1,0
2017,2,2,0
2017,2,3,7.949676
2017,2,4,2.6252453
2017,2,5,0
2017,2,6,0
2017,2,7,0
2017,2,8,0
2017,2,9,0
2017,2,10,0
2017,2,11,0
2017,3,1,0
2017,3,2,0
2017,3,3,0
2017,3,4,0
2017,3,5,2.3226633
2017,3,6,2.8787744
2017,3,7,0
2017,3,8,0
2017,3,9,0
2017,3,10,0
2017,3,11,0
2017,4,1,0
2017,4,2,0
2017,4,3,0
2017,4,4,0
2017,4,5,0
2017,4,6,0.7196936
2017,4,7,0
2017,4,8,0
2017,4,9,0
2017,4,10,0
2017,4,11,0
2017,5,1,0
2017,5,2,0
2017,5,3,0
2017,5,4,0
2017,5,5,0
2017,5,6,0
2017,5,7,18.058619
2017,5,8,0
2017,5,9,0
2017,5,10,0
2017,5,11,0
2018,1,1,0
2018,1,2,0
2018,1,3,0
2018,1,4,0
2018,1,5,0
2018,1,6,0
2018,1,7,0
2018,1,8,0
2018,1,9,0
2018,1,10,0
2018,1,11,0
2018,2,1,0
2018,2,2,0
2018,2,3,7.86912
2018,2,4,2.714564
2018,2,5,0
2018,2,6,0
2018,2,7,0
2018,2,8,0
2018,2,9,0
2018,2,10,0
2018,2,11,0
2018,3,1,0
2018,3,2,0
2018,3,3,0
2018,3,4,0
2018,3,5,2.3583853
2018,3,6,2.9140036
2018,3,7,0
2018,3,8,0
2018,3,9,0
2018,3,10,0
2018,3,11,0
2018,4,1,0
2018,4,2,0
2018,4,3,0
2018,4,4,0
2018,4,5,0
2018,4,6,0.7285009
2018,4,7,0
2018,4,8,0
2018,4,9,0
2018,4,10,0
2018,4,11,0
2018,5,1,0
2018,5,2,0
2018,5,3,0
2018,5,4,0
2018,5,5,0
2018,5,6,0
2018,5,7,18.433863
2018,5,8,0
2018,5,9,0
2018,5,10,0
2018,5,11,0
2019,1,1,0
2019,1,2,0
2019,1,3,0
2019,1,4,0
2019,1,5,0
2019,1,6,0
2019,1,7,0
2019,1,8,0
2019,1,9,0
2019,1,10,0
2019,1,11,0
2019,2,1,0
2019,2,2,0
2019,2,3,7.7484136
2019,2,4,2.8034658
2019,2,5,0
2019,2,6,0
2019,2,7,0
2019,2,8,0
2019,2,9,0
2019,2,10,0
2019,2,11,0
2019,3,1,0
2019,3,2,0
2019,3,3,0
2019,3,4,0
2019,3,5,2.3958871
2019,3,6,2.9493177
2019,3,7,0
2019,3,8,0
2019,3,9,0
2019,3,10,0
2019,3,11,0
2019,4,1,0
2019,4,2,0
2019,4,3,0
2019,4,4,0
2019,4,5,0
2019,4,6,0.7373293
2019,4,7,0
2019,4,8,0
2019,4,9,0
2019,4,10,0
2019,4,11,0
2019,5,1,0
2019,5,2,0
2019,5,3,0
2019,5,4,0
2019,5,5,0
2019,5,6,0
2019,5,7,18.829134
2019,5,8,0
2019,5,9,0
2019,5,10,0
2019,5,11,0
2020,1,1,0
2020,1,2,0
2020,1,3,0
2020,1,4,0
2020,1,5,0
2020,1,6,0
2020,1,7,0
2020,1,8,0
2020,1,9,0
2020,1,10,0
2020,1,11,0
2020,2,1,0
