"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,"Bait boats"

Step,61
Year,5.083313
-9999,-9999,0,0,0,0,3.6086061000823975,3.406892776489258,3.2111427783966064,2.982348918914795,2.753751277923584,2.649549961090088,2.7161004543304443,2.9645540714263916,3.301469564437866,3.6591427326202393,0,0,0,-9999
-9999,-9999,0,0,0,3.6667115688323975,3.357863664627075,3.0644588470458984,2.727365255355835,2.3427374362945557,1.9965084791183472,1.8206813335418701,1.8685674667358398,2.1493170261383057,0.2883281707763672,3.135889768600464,0,0,0,-9999
-9999,-9999,0,0,3.8540093898773193,3.5054659843444824,3.134782314300537,2.714876890182495,2.25344181060791,1.7985508441925049,1.4532794952392578,1.2706059217453003,1.2880678176879883,1.5121512413024902,1.9249354600906372,2.474273681640625,3.0735020637512207,0,0,-9999
-9999,0,0,4.176971912384033,3.7759954929351807,3.330744743347168,2.8142638206481934,2.2556662559509277,1.7327989339828491,1.3141674995422363,1.0423486232757568,0.9046231508255005,0.8981893062591553,1.0439316034317017,1.3419417142868042,0.39886701107025146,2.343134880065918,2.871062755584717,0,-9999
-9999,0,0,4.218826770782471,3.652223825454712,3.011061668395996,2.3291702270507812,1.6895540952682495,1.1941603422164917,0.8739820122718811,0.7009055018424988,0.6168934106826782,0.612744152545929,0.6916860342025757,0.8821340799331665,0.2660435438156128,1.6390498876571655,2.0938050746917725,0,-9999
-9999,0,0,4.158674716949463,3.3908092975616455,2.5923614501953125,1.8112106323242188,1.1641138792037964,0.7469955086708069,0.5215169191360474,0.4136016368865967,0.36907270550727844,0.36718058586120605,0.41039058566093445,0.5169079303741455,0.7155753970146179,1.009363055229187,0,0,-9999
-9999,0,0,3.8783280849456787,2.9720864295959473,2.1207308769226074,1.3544281721115112,0.7824562788009644,0.45299968123435974,0.28883370757102966,0.21719618141651154,0.18693427741527557,0.08168119937181473,0.11107499897480011,0.24648866057395935,0.07719914615154266,0.5187548995018005,0,0,-9999
-9999,0,0,3.293976306915283,2.378300905227661,1.5973159074783325,0.9605842232704163,0.5137945413589478,0.26913386583328247,0.1586380898952484,0.10262800753116608,0.08081226050853729,0.04884014651179314,0.06726718693971634,0.06127351522445679,0.12879903614521027,0.21123790740966797,0,0,-9999
-9999,0,0,2.5051655769348145,1.671608328819275,1.0548851490020752,0.608224630355835,0.3162272572517395,0.15424546599388123,0.08638222515583038,0.054719146341085434,0.03987788408994675,0.014545476995408535,0.023863932117819786,0.021902164444327354,0.042371708899736404,0.06492366641759872,0,0,-9999
-9999,0,0,1.7828373908996582,1.0707427263259888,0.6251677870750427,0.34683650732040405,0.17519915103912354,0.09176350384950638,0.05246325209736824,0.03353932127356529,0.0233632642775774,0.017927546054124832,0.015375826507806778,0.009577260352671146,0.008700654841959476,0.01963954232633114,0,-9999,-9999
-9999,0,0,1.3102437257766724,0.7134115099906921,0.3731898069381714,0.19282372295856476,0.1014413982629776,0.057457152754068375,0.03477340564131737,0.01534885261207819,0.01255284808576107,0.0014367554103955626,0.014158844016492367,0.006986306514590979,0.0077353958040475845,0.019014611840248108,0.002897865604609251,-9999,-9999
-9999,0,0,1.0313328504562378,0.5207571983337402,0.23336388170719147,0.11647429317235947,0.06165504828095436,0.03619769588112831,0.015300082974135876,0.014084902592003345,0.014030860736966133,0.011687451042234898,0.0165245421230793,0.018355293199419975,0.020363889634609222,0.02248220518231392,0.02488866075873375,0.0204132329672575,0.030294163152575493
