"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Seals

Step,61
Year,5.083313
-9999,-9999,0.10186352580785751,0.09399161487817764,0.07398566603660583,0.04977662116289139,0.03084629587829113,0.03094417229294777,0.031082067638635635,0.031244661659002304,0.03141794353723526,0.029138192534446716,0.029313521459698677,0.03201083838939667,0.032282643020153046,0.05261678621172905,0.07868198305368423,0.10052033513784409,0.10999228060245514,-9999
-9999,-9999,0.10237869620323181,0.08060704171657562,0.05877118185162544,0.03960927948355675,0.022624420002102852,0.015282968059182167,0.015376591123640537,0.015489335171878338,0.015611814334988594,0.01452687755227089,0.014664271846413612,0.016077401116490364,0.024194568395614624,0.04279205948114395,0.06385724246501923,0.08792171627283096,0.11202096939086914,-9999
-9999,-9999,0.10319583117961884,0.08133263885974884,0.054744936525821686,0.031464967876672745,0.015444202348589897,0.007574430666863918,0.006520771887153387,0.006586958188563585,0.00666096480563283,0.006227597128599882,0.006327776238322258,0.008195601403713226,0.017020314931869507,0.03493216633796692,0.06095072999596596,0.09066025912761688,0.1150921881198883,-9999
-9999,0.1046823263168335,0.09647612273693085,0.07600940763950348,0.051277630031108856,0.029433714225888252,0.014489591121673584,0.006097032222896814,0.002382623963057995,0.0024210221599787474,0.0024622941855341196,0.0023087351582944393,0.0025754845701158047,0.007380163297057152,0.017786890268325806,0.036336448043584824,0.06318400800228119,0.0937352329492569,0.11879900097846985,-9999
-9999,0.10560232400894165,0.08319216966629028,0.060757946223020554,0.041073501110076904,0.02370435744524002,0.01166389137506485,0.004916946869343519,0.001803446444682777,0.0011909789172932506,0.0012216510949656367,0.0012475126422941685,0.0027248747646808624,0.00773249426856637,0.018535980954766273,0.0377509668469429,0.06550154089927673,0.09701726585626602,0.1228426918387413,-9999
-9999,0.10708325356245041,0.08452121913433075,0.057043563574552536,0.032916974276304245,0.016238706186413765,0.0080106221139431,0.0034048431552946568,0.0012563846539705992,0.0012496390845626593,0.0012859741691499949,0.0013140379451215267,0.002859750296920538,0.008068608120083809,0.019270196557044983,0.03915822133421898,0.06783575564622879,0.1003451868891716,0.12694832682609558,-9999
-9999,0.10901486128568649,0.08614075928926468,0.05824540555477142,0.03368709236383438,0.01665724255144596,0.007045010570436716,0.002564849564805627,0.001252456335350871,0.0013017843011766672,0.00134245993103832,0.0014498364180326462,0.004156250506639481,0.009913677349686623,0.01999659463763237,0.04055287316441536,0.07013837993144989,0.10358172655105591,0.13085106015205383,-9999
-9999,0.11130387336015701,0.08801766484975815,0.05959418788552284,0.03451891988515854,0.017209183424711227,0.0073027643375098705,0.0026694415137171745,0.0012934636324644089,0.001345861703157425,0.0013903739163652062,0.0022421604953706264,0.0064057158306241035,0.015237171202898026,0.031009767204523087,0.05349051207304001,0.07856209576129913,0.10666055977344513,0.13425153493881226,-9999
-9999,0.11380225419998169,0.09005575627088547,0.06128358840942383,0.03558139503002167,0.017661089077591896,0.0075010256841778755,0.002741490723565221,0.0013271865900605917,0.0013809255324304104,0.0014267887454479933,0.0029190576169639826,0.008322104811668396,0.019900526851415634,0.0403875894844532,0.0697198212146759,0.10266612470149994,0.1288488656282425,0.1366739422082901,-9999
-9999,0.11628909409046173,0.09211639314889908,0.06275713443756104,0.03647208586335182,0.018122045323252678,0.009016341529786587,0.0038629069458693266,0.001426391419954598,0.0014070875477045774,0.00145352678373456,0.003230888396501541,0.009168146178126335,0.02194419503211975,0.04461820796132088,0.07726315408945084,0.11381717771291733,0.14380864799022675,-9999,-9999
