"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Cod

Step,61
Year,5.083313
-9999,-9999,0.0059578134678304195,0.007731782738119364,0.012633096426725388,0.02194635197520256,0.03721090033650398,0.06562056392431259,0.1213245689868927,0.21689912676811218,0.34250178933143616,0.4311898648738861,0.430788516998291,0.34116679430007935,0,0.13225261867046356,0.079173743724823,0.05365711823105812,0.04522010311484337,-9999
-9999,-9999,0.00787593238055706,0.011225668713450432,0.020361635833978653,0.03755410388112068,0.06888675689697266,0.12462974339723587,0.2169937789440155,0.35677075386047363,0.5077623724937439,0.6244910955429077,0.6430846452713013,0.5574931502342224,0.4157312214374542,0.27295705676078796,0.17374534904956818,0.11672628670930862,0.09696051478385925,-9999
-9999,0.008501934818923473,0.011820548214018345,0.01947067119181156,0.03945450484752655,0.07894449681043625,0.14540094137191772,0.2538178265094757,0.3997611403465271,0.5632501244544983,0.7034404873847961,0.8070259094238281,0.8501004576683044,0.7990704774856567,0.6804986596107483,0,0.348834753036499,0.24439525604248047,0.2049233317375183,-9999
-9999,0.013038400560617447,0.019113412126898766,0.03847207874059677,0.08356243371963501,0.16938330233097076,0.30786216259002686,0.49980440735816956,0.7021358013153076,0.8630735278129578,0.9624800086021423,1.038679838180542,1.0832335948944092,1.0783495903015137,0.9983328580856323,0,0.6344159245491028,0.47664687037467957,0.4130554497241974,-9999
-9999,0.025748135522007942,0.03815387934446335,0.07684875279664993,0.15894141793251038,0.307804137468338,0.5406213402748108,0.8256826996803284,1.0572911500930786,1.193637728691101,1.2677597999572754,1.3287901878356934,1.3912018537521362,1.4112460613250732,1.3627885580062866,1.24178946018219,1.0368597507476807,0.844066321849823,0.7578110694885254,-9999
-9999,0.05823404714465141,0.0821061059832573,0.15456454455852509,0.28808483481407166,0.5003330111503601,0.8030061721801758,1.1180944442749023,1.3171894550323486,1.4055030345916748,1.4542981386184692,1.5273611545562744,0,0,1.6702343225479126,0,1.4562792778015137,1.2841655015945435,1.1949349641799927,-9999
-9999,0.13601534068584442,0.18539191782474518,0.3187982439994812,0.5105293393135071,0.7680810689926147,1.0721957683563232,1.3295572996139526,1.4315627813339233,1.432173252105713,1.4295130968093872,1.4709765911102295,0,0,0,1.61188542842865,1.6024696826934814,1.5580120086669922,1.492409348487854,-9999
-9999,0.28914397954940796,0.3773840069770813,0.5934922099113464,0.8498626947402954,1.1055808067321777,1.325951099395752,1.441815733909607,1.4252946376800537,1.355309247970581,1.2968171834945679,1.269432544708252,0,0,0,1.21864914894104,1.307082176208496,1.4684269428253174,1.4734373092651367,-9999
-9999,0.48936179280281067,0.6126070022583008,0.9027241468429565,1.185701608657837,1.3692554235458374,1.4497894048690796,1.4305145740509033,1.3447703123092651,1.2464667558670044,1.1646438837051392,1.070988416671753,0.9737362265586853,0.876968502998352,0,0,0.7900546789169312,0.9839898347854614,-9999,-9999
-9999,0.6499261260032654,0.7979640960693359,1.1165566444396973,1.3596487045288086,1.441239595413208,1.4097365140914917,1.3203072547912598,1.2287098169326782,1.1462268829345703,0,0,0,0.6313378214836121,0,0,0.39334744215011597,0,-9999,-9999
-9999,0.7793952822685242,0.9397887587547302,1.2290763854980469,1.4103200435638428,1.3917535543441772,1.2807222604751587,1.1565996408462524,1.07246994972229,0,0,0,0,0.4637672007083893,0.349239706993103,0.2655487656593323,0.20777666568756104,0.1610639989376068,0,0
-9999,-9999,1.0827364921569824,1.2943968772888184,1.4079101085662842,1.3082427978515625,1.129320502281189,0.9817067384719849,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,1.2486587762832642,1.3510292768478394,1.3803437948226929,1.206669569015503,0.9740105867385864,0.8006669282913208,0,0,0,0,0,0,0,0,0,0,0,0
-9999,-9999,-9999,1.3686898946762085,1.3586443662643433,1.1560698747634888,0.8975053429603577,0.7160421013832092,0,0,0,0,0,0,0,0,0,0,0,0

Step,109
Year,9.083297
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0076227737590670586,0.007355055771768093,-9999,-9999,0.005836369935423136,0.00511018093675375,-9999,-9999,-9999
-9999,-9999,-9999,-9999,0.006835291627794504,0.008035796694457531,0.010494454763829708,0.01299315970391035,0.015006608329713345,0.01646305061876774,0.013827063143253326,0.011780768632888794,0.01175833959132433,0.01201980747282505,0.00986248254776001,0.007359620649367571,0.005965586751699448,0.005302686709910631,-9999,-9999
-9999,-9999,-9999,0.006462856195867062,0.0075224111787974834,0.009280593134462833,0.012270990759134293,0.015875255689024925,0.020364921540021896,0.024712208658456802,0.02784709446132183,0.027856292203068733,0.026959989219903946,0.022914793342351913,0.01753443293273449,0.012265333905816078,0.008923865854740143,0.007421963848173618,-9999,-9999
-9999,-9999,-9999,0.006914546247571707,0.008383329026401043,0.011873159557580948,0.01723366789519787,0.025026429444551468,0.03679756075143814,0.05542486906051636,0.07697851955890656,0.08881344646215439,0.0840577483177185,0.062975212931633,0.0426163524389267,0.026191990822553635,0.01700698398053646,0.014989782124757767,-9999,-9999
-9999,-9999,0.0056739989668130875,0.00725515466183424,0.010130109265446663,0.01572646014392376,0.02475486509501934,0.0398191399872303,0.069447822868824,0.1197996661067009,0.18838346004486084,0.22971253097057343,0.22425274550914764,0.1666267067193985,0.10314051061868668,0.05971505492925644,0.03658857196569443,0.02921542339026928,0.025776559486985207,-9999
-9999,-9999,0.006271664053201675,0.008133884519338608,0.01326522696763277,0.02298578806221485,0.03886165842413902,0.0683162659406662,0.12595462799072266,0.22468417882919312,0.3542918264865875,0.44577479362487793,0.4454782009124756,0.3532048463821411,0,0.13730131089687347,0.08223091810941696,0.055730536580085754,0.04695000499486923,-9999
-9999,-9999,0.008248971775174141,0.01174649503082037,0.021261243149638176,0.0391082838177681,0.07151805609464645,0.12901978194713593,0.2241094410419464,0.3678480386734009,0.5230215191841125,0.6430887579917908,0.6625128388404846,0.5749525427818298,0.4294460415840149,0.2823542058467865,0.17978553473949432,0.12077111005783081,0.10029590129852295,-9999
-9999,0.008834592998027802,0.012303376570343971,0.020251439884305,0.04094517230987549,0.08170745521783829,0.1500759869813919,0.2613355219364166,0.4108499586582184,0.5782415866851807,0.7218589186668396,0.8283153176307678,0.8731400966644287,0.8216646313667297,0.7008782029151917,0,0.3598390221595764,0.2519638240337372,0.211181640625,-9999
-9999,0.013498013839125633,0.019787004217505455,0.039780717343091965,0.0862286239862442,0.1743614673614502,0.31613659858703613,0.5122027397155762,0.7186174392700195,0.8828826546669006,0.9847576022148132,1.0635805130004883,1.1105449199676514,1.1068871021270752,1.0260944366455078,0,0.6524679064750671,0.489765465259552,0.42417776584625244,-9999
