"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapCatch
Contaminant Concentrations,Mackerel

Step,61
Year,5.083313
-9999,-9999,0,0,0,0,2.191685199737549,1.8160228729248047,1.6017217636108398,1.4575520753860474,1.3631083965301514,1.3424268960952759,1.4073817729949951,1.5756547451019287,1.856091856956482,2.3155710697174072,0,0,0,-9999
-9999,-9999,0,0,0,2.0230069160461426,1.5050005912780762,1.2153489589691162,1.0274978876113892,0.8874717354774475,0.7897422909736633,0.7537432312965393,0.790730357170105,0.9151041507720947,1.1444871425628662,1.5443446636199951,0,0,0,-9999
-9999,-9999,0,0,2.0475142002105713,1.4631470441818237,1.1031066179275513,0.8702074885368347,0.7055658102035522,0.5838450789451599,0.5059528946876526,0.47338464856147766,0.4926310181617737,0.5726673603057861,0.7307331562042236,1.0003688335418701,1.4419976472854614,0,0,-9999
-9999,0,0,2.268562078475952,1.5704306364059448,1.1304703950881958,0.8390482664108276,0.6374581456184387,0.4969457685947418,0.40332669019699097,0.3498111963272095,0.32822683453559875,0.33738645911216736,0.38505271077156067,0.48224014043807983,0.6516385078430176,0.9169343709945679,1.2874401807785034,0,-9999
-9999,0,0,1.9467278718948364,1.2998521327972412,0.9016589522361755,0.6398218870162964,0.4630052149295807,0.3501323163509369,0.28497710824012756,0.2528966963291168,0.24092993140220642,0.24714668095111847,0.2741709053516388,0.3323442339897156,0.43563151359558105,0.6053535342216492,0.8470052480697632,0,-9999
-9999,0,0,1.734082818031311,1.1057038307189941,0.7323011755943298,0.49237847328186035,0.33891308307647705,0.25188004970550537,0.20771685242652893,0.18792037665843964,0.18190981447696686,0.186269611120224,0.20255029201507568,0.2367057055234909,0.3003638982772827,0.40902718901634216,0,0,-9999
-9999,0,0,1.5201724767684937,0.9331335425376892,0.596024215221405,0.38610711693763733,0.2597021162509918,0.1933915764093399,0.16152897477149963,0.14809809625148773,0.14391222596168518,0.14665819704532623,0.15594224631786346,0.1752060502767563,0.2121451199054718,0.27843230962753296,0,0,-9999
-9999,0,0,1.259034276008606,0.7541539072990417,0.47301560640335083,0.30559733510017395,0.2083185315132141,0.1587926596403122,0.13633772730827332,0.1256851702928543,0.12246140837669373,0.12369991093873978,0.12926939129829407,0.14087599515914917,0.16196705400943756,0.20156310498714447,0,0,-9999
-9999,0,0,0.9720859527587891,0.5713097453117371,0.35903462767601013,0.23955263197422028,0.17270399630069733,0.13788338005542755,0.12230397760868073,0.11513926833868027,0.11266694962978363,0.11338930577039719,0.11723436415195465,0.12487786263227463,0.13850528001785278,0.1628381758928299,0,0,-9999
-9999,0,0,0.7279081344604492,0.42339780926704407,0.2719477415084839,0.19199120998382568,0.14805825054645538,0.1260170191526413,0.11494190990924835,0.10959598422050476,0.10757964104413986,0.10808630287647247,0.11098943650722504,0.11661852151155472,0.12620972096920013,0.14209942519664764,0,-9999,-9999
-9999,0,0,0.5669699311256409,0.33314529061317444,0.2197691649198532,0.16347429156303406,0.13434411585330963,0.11900793761014938,0.11061857640743256,0.10629889369010925,0.10456143319606781,0.10496370494365692,0.10760863125324249,0.11220502853393555,0.11933998018503189,0.1300659030675888,0.14116056263446808,-9999,-9999
-9999,0,0,0.4680090546607971,0.2811622619628906,0.18953828513622284,0.1480259895324707,0.12631382048130035,0.11444694548845291,0.10768255591392517,0.10404887050390244,0.10284027457237244,0.10343290120363235,0.10542472451925278,0.108847476541996,0.1138947382569313,0.12088454514741898,0.127848282456398,0.12742625176906586,0.12754301726818085
