"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Benthos

Step,61
Year,5.083313
-9999,-9999,-9999,27.4677734375,27.429845809936523,27.368539810180664,27.29107093811035,27.241107940673828,27.230030059814453,27.243301391601562,27.26410484313965,27.264142990112305,27.21021842956543,27.142101287841797,27.112274169921875,27.148204803466797,27.181318283081055,27.183940887451172,-9999,-9999
-9999,-9999,-9999,27.447097778320312,27.43645668029785,27.42491912841797,27.447731018066406,27.50541877746582,27.57593536376953,27.63895606994629,27.677783966064453,27.67317008972168,27.60065460205078,27.477100372314453,27.32291603088379,27.17522621154785,27.023746490478516,26.897294998168945,-9999,-9999
-9999,-9999,27.44255828857422,27.43951988220215,27.477535247802734,27.595897674560547,27.82648277282715,28.049800872802734,28.25879669189453,28.445894241333008,28.572595596313477,28.609149932861328,28.52593994140625,28.322345733642578,28.006439208984375,27.61669158935547,27.172988891601562,26.842185974121094,26.679908752441406,-9999
-9999,-9999,27.357439041137695,27.42306137084961,27.563703536987305,27.85245132446289,28.2375431060791,28.641725540161133,29.033363342285156,29.367998123168945,29.581926345825195,29.65110206604004,29.57312774658203,29.330324172973633,28.89234161376953,28.34188461303711,27.703760147094727,27.199106216430664,26.93070411682129,-9999
-9999,-9999,27.139848709106445,27.326923370361328,27.642860412597656,28.100017547607422,28.655244827270508,29.24925994873047,29.806386947631836,30.241943359375,30.503890991210938,30.588594436645508,30.523061752319336,30.298093795776367,29.873699188232422,29.27552604675293,28.581501007080078,27.945730209350586,27.574481964111328,-9999
-9999,26.500967025756836,26.7884464263916,27.211013793945312,27.721214294433594,28.38029670715332,29.136577606201172,29.887123107910156,30.526813507080078,30.986543655395508,31.25542640686035,31.347768783569336,31.292322158813477,31.097850799560547,30.734926223754883,30.201032638549805,29.593761444091797,28.99363136291504,28.58836555480957,-9999
-9999,26.236387252807617,26.531034469604492,27.136381149291992,27.907651901245117,28.80315399169922,29.72298812866211,30.535375595092773,31.157846450805664,31.58118438720703,31.83069610595703,31.920814514160156,31.875503540039062,31.71449089050293,31.433868408203125,31.025978088378906,30.564674377441406,30.082704544067383,29.741823196411133,-9999
-9999,25.98238182067871,26.394914627075195,27.261632919311523,28.297216415405273,29.376174926757812,30.362163543701172,31.143062591552734,31.700523376464844,32.07377624511719,32.29359436035156,32.36954879760742,32.321861267089844,32.19402313232422,31.995248794555664,31.714107513427734,31.388519287109375,31.043119430541992,30.806123733520508,-9999
-9999,26.02845001220703,26.5992488861084,27.683185577392578,28.891361236572266,30.0367488861084,30.992408752441406,31.704456329345703,32.213077545166016,32.56510925292969,32.774383544921875,32.83731460571289,32.77268600463867,32.6699104309082,32.53678894042969,32.326629638671875,32.091339111328125,31.840896606445312,31.668933868408203,-9999
-9999,26.572607040405273,27.236051559448242,28.420175552368164,29.65460777282715,30.739479064941406,31.598907470703125,32.246376037597656,32.743690490722656,33.110572814941406,33.35350799560547,33.44699478149414,33.42058181762695,33.362449645996094,33.26591491699219,33.10886001586914,32.858070373535156,32.58797073364258,32.372642517089844,-9999
