"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapEffort
Fleet name,Shrimpers

Step,61
Year,5.083313
-9999,-9999,1.2501752376556396,1.2646952867507935,1.2860223054885864,1.284558653831482,1.2483248710632324,1.164548397064209,1.0250784158706665,0.8475738167762756,0.6868579387664795,0.6051505208015442,0.621845006942749,0.7403042912483215,0,1.0910440683364868,1.2091152667999268,1.2669600248336792,1.2828017473220825,-9999
-9999,-9999,1.2814477682113647,1.297703742980957,1.306287169456482,1.2791764736175537,1.1947370767593384,1.0468446016311646,0.8516178727149963,0.6476238369941711,0.49290186166763306,0.41272667050361633,0.4175242483615875,0.5077741146087646,0.6743987202644348,0.8707889914512634,1.0402735471725464,1.155830979347229,1.203686237335205,-9999
-9999,1.2952901124954224,1.318572759628296,1.3249677419662476,1.305384635925293,1.220453143119812,1.0621764659881592,0.8510203957557678,0.6354050040245056,0.4580923914909363,0.34318727254867554,0.2858855426311493,0.28257763385772705,0.33901309967041016,0.4564165771007538,0,0.8073381185531616,0.9501660466194153,1.0214745998382568,-9999
-9999,1.327557921409607,1.3399094343185425,1.3256162405014038,1.2471349239349365,1.0771998167037964,0.8450629115104675,0.6044219136238098,0.4127300977706909,0.2886776030063629,0.22151529788970947,0.18919573724269867,0.1874007284641266,0.21683663129806519,0.2879488170146942,0,0.5513192415237427,0.6868665218353271,0.7592760920524597,-9999
-9999,1.3515602350234985,1.3410253524780273,1.2775275707244873,1.1261682510375977,0.8912457823753357,0.6217612028121948,0.38911378383636475,0.24090485274791718,0.16248652338981628,0.12527626752853394,0.10997173935174942,0.10948936641216278,0.12448256462812424,0.1609421968460083,0.2279602438211441,0.3209291994571686,0.42226627469062805,0.47812241315841675,-9999
-9999,1.327180027961731,1.2876458168029785,1.1590572595596313,0.9507192373275757,0.694659948348999,0.43873342871665955,0.24592216312885284,0.1382184773683548,0.08626530319452286,0.06377866119146347,0.05460284277796745,0,0,0.07401307672262192,0,0.15635661780834198,0.21506430208683014,0.24793241918087006,-9999
-9999,1.2189255952835083,1.139306902885437,0.9501582384109497,0.7247397303581238,0.4948219358921051,0.29441314935684204,0.15395189821720123,0.07901447266340256,0.0460929237306118,0.028529342263936996,0.022472402080893517,0,0,0,0.03668726235628128,0.06175767630338669,0.09125014394521713,0.11006435751914978,-9999
-9999,1.0167046785354614,0.9085732698440552,0.6908608078956604,0.47976934909820557,0.30718693137168884,0.17693033814430237,0.09091845899820328,0.04262261465191841,0.02425318956375122,0.01597542315721512,0.012373805977404118,0,0,0,0.01365986093878746,0.01967512257397175,0.03174549713730812,0.0411851704120636,-9999
-9999,0.801466166973114,0.68658846616745,0.4701988399028778,0.29022669792175293,0.1723712533712387,0.09645283967256546,0.04771700128912926,0.02564576268196106,0.015958549454808235,0.011559025384485722,0.009291381575167179,0.008123781532049179,0.007672573439776897,0,0,0.009228966198861599,0.013267368078231812,-9999,-9999
-9999,0.6517925262451172,0.5365790724754333,0.3360254466533661,0.18685051798820496,0.09930939972400665,0.051105182617902756,0.02803943119943142,0.017557846382260323,0.01244076993316412,0,0,0,0.009426315315067768,0,0,0.012540269643068314,0,-9999,-9999
