"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 04/04/1933)"
Date,"06/12/2026 10:50:48"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,AnchovyBay.eiixml
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER ecospace/>"
EcospaceScenario,BayOfAnchovies
MapRows,20
MapCols,20
MapCellLength,20
MapCellSize,0.17996463
MapTopLeftLat,0
MapTopLeftLon,0
NoActiveCells,313
EcoSpaceTimeStepLength,0.08333300219773374
CoordinateSystemWKT,"GEOGCS[WGS 84, DATUM[WGS_1984, SPHEROID[WGS 84,6378137,298.257223563, AUTHORITY[EPSG,7030]], AUTHORITY[EPSG,6326]], PRIMEM[Greenwich,0, AUTHORITY[EPSG,8901]], UNIT[degree,0.01745329251994328, AUTHORITY[EPSG,9122]], AUTHORITY[EPSG,4326]]"
ExternalDataConfigFile,AnchovyBay_extdata.xml
"<HEADER end/>"
Variable,EcospaceMapBiomass
Contaminant Concentrations,Detritus

Step,61
Year,5.083313
-9999,9.86681842803955,9.966005325317383,10.167552947998047,10.261770248413086,10.298630714416504,10.316228866577148,10.33112907409668,10.342761039733887,10.349444389343262,10.348838806152344,10.35216236114502,10.358477592468262,10.368796348571777,10.379297256469727,10.387389183044434,10.389143943786621,10.327879905700684,-9999,-9999
-9999,9.952463150024414,10.042839050292969,10.218049049377441,10.301084518432617,10.333135604858398,10.34077262878418,10.344636917114258,10.342119216918945,10.336848258972168,10.323695182800293,10.32751178741455,10.34178352355957,10.365269660949707,10.379064559936523,10.396697044372559,10.411358833312988,10.454694747924805,-9999,-9999
-9999,10.01462173461914,10.100349426269531,10.242934226989746,10.318296432495117,10.355019569396973,10.358455657958984,10.35607624053955,10.344306945800781,10.328176498413086,10.320846557617188,10.325091361999512,10.338555335998535,10.35694408416748,10.373379707336426,10.390399932861328,10.404563903808594,10.41486644744873,10.373559951782227,10.380563735961914
-9999,-9999,10.161855697631836,10.257147789001465,10.325871467590332,10.362089157104492,10.370691299438477,10.36559009552002,10.346477508544922,10.33598804473877,10.328987121582031,10.330705642700195,10.337468147277832,10.354425430297852,10.367429733276367,10.376251220703125,10.388507843017578,10.394569396972656,10.39202880859375,10.374011039733887
-9999,-9999,10.239269256591797,10.2792387008667,10.335649490356445,10.374377250671387,10.388360977172852,10.385860443115234,10.369460105895996,10.356855392456055,10.342007637023926,10.342000961303711,10.347770690917969,10.360177993774414,10.365608215332031,10.368600845336914,10.374617576599121,10.37809944152832,10.36119270324707,10.35335922241211
-9999,-9999,-9999,10.28774356842041,10.337285995483398,10.37498950958252,10.393318176269531,10.39178466796875,10.37356185913086,10.358592987060547,10.34600830078125,10.339333534240723,10.345280647277832,10.356330871582031,10.36365795135498,10.359923362731934,10.370037078857422,10.356790542602539,10.347131729125977,10.34300708770752

Step,109
Year,9.083297
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,10.055203437805176,10.0595703125,-9999,-9999,9.968940734863281,9.990724563598633,-9999,-9999,-9999
-9999,-9999,-9999,-9999,9.98095989227295,9.982406616210938,9.974785804748535,9.98741340637207,10.006734848022461,10.011787414550781,10.059931755065918,10.044132232666016,10.021829605102539,10.017773628234863,10.01590347290039,9.994894981384277,10.001524925231934,10.023183822631836,-9999,-9999
-9999,-9999,-9999,9.965747833251953,9.962116241455078,9.973249435424805,9.98590087890625,10.001625061035156,10.000547409057617,9.993961334228516,9.978113174438477,9.96374225616455,9.951298713684082,9.964689254760742,9.971153259277344,9.975714683532715,9.988821983337402,10.006535530090332,-9999,-9999
-9999,-9999,-9999,9.967129707336426,9.976861953735352,9.987534523010254,10.021330833435059,10.028295516967773,10.015352249145508,9.981559753417969,9.943742752075195,9.922261238098145,9.919169425964355,9.942780494689941,9.959709167480469,9.977974891662598,9.97397232055664,9.943877220153809,-9999,-9999
-9999,-9999,9.985480308532715,9.979663848876953,10.005287170410156,10.065579414367676,10.183061599731445,10.191766738891602,10.1552734375,10.11087417602539,10.072615623474121,10.060017585754395,10.060653686523438,10.082125663757324,10.106164932250977,10.104541778564453,9.985828399658203,9.94015121459961,9.979976654052734,-9999
-9999,-9999,10.000333786010742,10.023666381835938,10.07462215423584,10.196986198425293,10.237220764160156,10.225362777709961,10.193168640136719,10.164837837219238,10.142343521118164,10.133100509643555,10.137161254882812,10.150585174560547,10.149191856384277,10.132842063903809,10.004594802856445,9.945605278015137,9.93257999420166,-9999
